店名,类型,地址,推荐,人均,简介,来源
咸亨酒店,绍兴菜·老字号,越城区鲁迅中路179号,茴香豆、绍兴黄酒、梅干菜扣肉、糟鸡,80-120元,创建于清光绪二十年（1894年），因鲁迅小说《孔乙己》闻名天下。店内有'孔乙己欠十九文钱'的趣味招牌，是来绍兴必打卡的文化餐厅。,dianping_static
寻宝记绍兴菜,绍兴菜·网红,越城区仓桥直街114号,醉蟹、梅干菜扣肉、宋嫂鱼羹、绍兴三臭,70-100元,位于仓桥直街核心位置，以新派绍兴菜见长。装修古色古香，将传统绍兴菜与现代口味结合，常年排队。,dianping_static
状元楼,绍兴菜·老牌,越城区胜利西路,清汤越鸡、干菜焖肉、鉴湖鱼头,60-90元,绍兴老牌酒楼，以传统绍兴菜见长。清汤越鸡选用本地越鸡，汤清味醇，是绍兴十大名菜之一。,dianping_static
孔乙己酒家,绍兴菜·主题餐厅,越城区鲁迅中路273号,茴香豆、花雕鸡、绍兴三臭、臭豆腐,70-100元,鲁迅主题绍兴菜馆，店内随处可见《孔乙己》元素。'多乎哉？不多也'的茴香豆是每桌必点。,dianping_static
绍兴饭店,绍兴菜·高端,越城区环山路8号,鉴湖河鲜、花雕醉蟹、干菜焖肉,150-250元,绍兴最老牌的高端酒店，位于府山脚下，园林式建筑。接待过众多中外政要，是体验正宗绍兴官府菜的首选。,dianping_static
同心楼,小吃面点·百年老店,越城区解放北路430号,生煎包、片儿川、小馄饨,15-30元,绍兴百年老店，以面点小吃闻名。生煎包底脆肉鲜，是绍兴人从小吃到大的味道。每天清晨排长队。,dianping_static
仓桥阿丘面馆,面馆·苍蝇馆子,越城区仓桥直街,次坞打面、片儿川、三鲜面,15-25元,仓桥直街巷子里的地道面馆。次坞打面是诸暨特色，手工打制，面条劲道有嚼劲。,dianping_static
荣禄春,小吃·老字号,越城区解放北路,小笼包、虾肉馄饨、蟹粉小笼,20-40元,始于清同治年间，以绍兴小笼包闻名。皮薄馅大，汤汁鲜美，是本地人的心头好。,dianping_static
嵊州小吃（鲁迅故里店）,小吃·嵊州特色,越城区鲁迅中路鲁迅故里景区附近,嵊州小笼包（豆腐包）、炒年糕、榨面,15-25元,嵊州是浙江小吃之乡。豆腐包用嫩豆腐做馅，一咬爆汁。炒年糕不是炒的而是带汤的，是嵊州独有吃法。,dianping_static
王老汉臭豆腐,小吃·特产,越城区鲁迅中路,臭豆腐、萝卜丝饼、虾饼,10-20元,绍兴臭豆腐的代表摊位，外酥里嫩，配上甜酱和辣酱，是逛鲁迅故里时必吃的街头美食。,dianping_static
高老太奶油小攀,甜品·老字号,越城区新建南路,奶油小攀（绍兴版蛋挞）,8-15元,奶油小攀是绍兴独有的传统甜品，类似蛋挞但口感更绵密。高老太是公认最正宗的，开了三十多年。,dianping_static
黄酒博物馆文创店,特产购物,越城区下大路557号,各种年份黄酒、黄酒棒冰、黄酒奶茶,30-200元,中国黄酒博物馆附设商店，可品酒购酒。从三年陈到三十年陈应有尽有，还有黄酒棒冰、黄酒奶茶等文创产品。,dianping_static
绘璟轩·黄酒奶茶,饮品·网红,越城区仓桥直街,黄酒奶茶、黄酒拿铁、黄酒冰淇淋,20-35元,绍兴黄酒新喝法的代表店铺。黄酒+奶茶的跨界组合意外好喝，酒香与奶香融合，是年轻人的打卡圣地。,dianping_static
柒舍小院,私房菜·文艺,越城区西小路,花雕鸡、酱鸭舌、梅干菜河鳗,80-120元,隐藏在巷弄里的文艺私房菜馆，小院环境雅致。需提前预约，菜品精致有创意。,dianping_static
绍东家,绍兴菜·连锁,越城区世茂广场,花雕醉鸡、酱鸭、酒酿圆子,50-80元,绍兴本地连锁品牌，菜品标准化，环境干净现代。适合不习惯苍蝇馆子的游客，味道正宗。,dianping_static
安昌古镇仁昌酱园,特产·百年酱园,柯桥区安昌古镇内,母子酱油、太油、酱鸭、酱肉,20-50元,创建于清光绪十八年（1892年），至今仍用传统工艺晒制酱油。园区免费参观，可购买手工酱油和酱货。,dianping_static
安昌古镇陈记扯白糖,小吃·非遗,柯桥区安昌古镇老街,扯白糖、姜糖、花生糖,10-20元,扯白糖是绍兴非遗技艺。师傅现场拉制，将滚烫糖浆反复拉扯至银白色，切成小块，甜而不腻。,dianping_static
柯桥越乡小吃街,小吃聚集地,柯桥区万达广场附近,臭豆腐、炒年糕、黄酒棒冰、萝卜丝饼,20-50元,柯桥区小吃集中地，各类绍兴特色小吃一应俱全，适合一站式品尝。,dianping_static
