主题,时间,内容摘要,来源
,,,sxnews_static
,,,sxnews_static
,每年3-4月,宛委山樱花、吼山桃花、镜湖湿地油菜花、兰亭竹林,
,每年10-11月,大香林桂花、会稽山红叶、鉴湖桂花节、天姥山秋色,
,每年腊月(12月-1月),安昌古镇腊味飘香、传统年俗体验、酱园开缸,
鲁迅文化周,每年4月下旬,鲁迅文化周期间举办文学讲座、主题展览、研学活动等，是鲁迅故里最热闹的时节。,
沈园梅花节,每年2-3月,沈园梅花盛开，红梅白梅与宋代园林相映成趣，是绍兴春日赏梅胜地。,
东湖荷花节,每年6-8月,夏季东湖荷花满湖，乌篷船穿行荷间，水洞内外温差约10℃为天然避暑胜地。,
兰亭书法节,每年农历三月初三,第40届兰亭书法节将举办书法展览、曲水流觞、现场挥毫等活动，是海内外书法爱好者的年度盛会。,
鉴湖桂花节,每年9-10月,鉴湖畔桂花飘香，可乘乌篷船赏桂。桂花糕、桂花酒等时令美食集中呈现。,
安昌腊月风情节,每年腊月（12月-1月）,安昌古镇腊味飘香、传统年俗体验、酱园开缸、水上婚礼表演，年味最浓。,
大禹陵祭祀大典,每年清明节前后,国家级非遗，每年清明节举行公祭大禹陵典礼，仪仗庄严，是了解中华祭祀文化的重要窗口。,
书圣故里最佳游览季,四季皆宜,,
仓桥直街最佳游览季,四季皆宜,,
八字桥最佳游览季,四季皆宜,,
绍兴博物馆最佳游览季,四季皆宜,,
中国黄酒博物馆最佳游览季,四季皆宜,,
秋瑾故居最佳游览季,四季皆宜,,
周恩来祖居最佳游览季,四季皆宜,,
蔡元培故居最佳游览季,四季皆宜,,
青藤书屋最佳游览季,四季皆宜,,
鲁迅外婆家最佳游览季,春秋,,
新昌大佛寺最佳游览季,四季皆宜,,
穿岩十九峰最佳游览季,春秋,,
天姥山最佳游览季,春秋,,
五泄风景区最佳游览季,夏秋,,
西施故里最佳游览季,春秋,,
覆卮山最佳游览季,春,,
曹娥庙最佳游览季,四季皆宜,,
中华孝德园最佳游览季,四季皆宜,,
百丈飞瀑最佳游览季,夏,,
崇仁古镇最佳游览季,四季皆宜,,
会稽山兜率天景区最佳游览季,春秋,,
大香林最佳游览季,秋,,
乔波冰雪世界最佳游览季,四季皆宜,,
越王台最佳游览季,春秋,,
古纤道最佳游览季,春秋,,
宛委山最佳游览季,春,,
吼山最佳游览季,春,,
镜湖国家湿地公园最佳游览季,春秋,,
府山公园最佳游览季,四季皆宜,,
迎恩门水街最佳游览季,四季皆宜,,
塔山公园最佳游览季,四季皆宜,,
蕺山公园最佳游览季,四季皆宜,,
若耶溪最佳游览季,春秋,,
羊山石佛最佳游览季,四季皆宜,,
印山越国王陵最佳游览季,四季皆宜,,
东浦古镇（黄酒小镇）最佳游览季,春秋,,
诸暨千柱屋最佳游览季,四季皆宜,,
嵊州越剧小镇最佳游览季,四季皆宜,,
嵊州温泉城最佳游览季,冬,,
斯宅古村最佳游览季,春秋,,
绍兴科技馆最佳游览季,四季皆宜,,
绍兴非遗馆最佳游览季,四季皆宜,,
绍兴城市广场最佳游览季,四季皆宜,,
迪荡湖公园最佳游览季,四季皆宜,,
会稽山阳明洞天最佳游览季,春秋,,
越王城遗址最佳游览季,四季皆宜,,
中国绍兴黄酒节,每年11月,开酿仪式、黄酒品鉴、酒道表演,
中国越剧艺术节,每两年一届,汇聚全国越剧名家演出,
公祭大禹陵典礼,每年清明节,国家级非遗，仪仗庄严隆重,
祝福仪式,农历腊月廿三至除夕,绍兴特有年终祭祀，鲁迅小说祝福场景,
安昌水上婚礼,腊月风情节期间,安昌古镇水上婚礼表演，再现绍兴水乡传统婚俗,
绍兴端午龙舟赛,农历五月初五,鉴湖和环城河举办龙舟赛配粽子黄酒共庆端午,
社日,春秋两季,农村搭台唱社戏祭祀土地神鲁迅社戏描写场景,
,,,
