名称,来源数量,简介,信任等级,内容分类,主分类
绍兴黄酒酿造技艺,1,以鉴湖水、糯米、麦曲为原料，经14道工序。开耙是关键技术。,1,attraction_culture,非遗民俗
越剧,1,中国第二大剧种，唱腔清悠婉丽。代表剧目梁祝、红楼梦。,1,attraction_culture,非遗民俗
绍兴花雕制作技艺,1,酒坛彩绘含人物花鸟山水，女儿红状元红最著名。,1,attraction_culture,非遗民俗
绍兴师爷文化,1,绍兴师爷以刑名钱谷技能闻名，体现精明务实性格。,1,attraction_culture,非遗民俗
大禹祭典,1,每年清明公祭大禹陵。仪仗庄严，击鼓鸣钟献酒献舞。,1,attraction_culture,非遗民俗
绍兴乌篷船制作技艺,1,选用老杉木，经锯板刨光拼装捻缝涂油制成。船体轻盈。,1,attraction_culture,非遗民俗
绍兴水乡社戏,1,庙台或临水戏台演出，以越剧绍剧为主。,1,attraction_culture,非遗民俗
绍兴锡器制作技艺,1,含熔化浇铸锻打焊接雕刻。锡壶锡杯为传统产品。,1,attraction_culture,非遗民俗
嵊州竹编,1,以精细著称，可编人物动物花鸟立体造型。,1,attraction_culture,非遗民俗
新昌调腔,1,以高腔为主唱腔高亢激越，被誉为中国戏曲活化石。,1,attraction_culture,非遗民俗
绍兴目连戏,1,以目连救母故事为主线，穿插特技表演。,1,attraction_culture,非遗民俗
绍兴莲花落,1,以绍兴方言演唱，一人领唱众人帮腔，语言幽默风趣。,1,attraction_culture,非遗民俗
绍兴平湖调,1,用绍兴官话演唱旋律优美典雅。琵琶三弦扬琴二胡伴奏。,1,attraction_culture,非遗民俗
绍兴祝福仪式,1,腊月廿三至除夕举行。供奉三牲年糕祈求来年平安。,1,attraction_culture,非遗民俗
绍兴童谣,1,摇啊摇摇到外婆桥为代表作。语言质朴韵律优美。,1,attraction_culture,非遗民俗
绍兴铜雕,1,线刻浮雕镂空等技法。以精细细腻著称。,1,attraction_culture,非遗民俗
绍兴扇艺,1,以纸折扇为主扇面有名家书画。,1,attraction_culture,非遗民俗
绍兴水乡婚俗,1,迎亲乘乌篷船而行。安昌古镇保留水上婚礼表演。,1,attraction_culture,非遗民俗
绍兴乌干菜制作技艺,1,用芥菜腌制晒干色泽乌黑香气浓郁。绍兴有乌干菜白米饭的俗语。,1,attraction_culture,非遗民俗
诸暨西路乱弹,1,以高腔为主唱腔高亢激越，保留古老戏曲元素。,1,attraction_culture,非遗民俗
嵊州根雕,1,以七分天然三分人工为理念。产品远销海内外。,1,attraction_culture,非遗民俗
绍兴端午习俗,1,赛龙舟吃粽子挂艾草。鉴湖和环城河举办龙舟赛。,1,attraction_culture,非遗民俗
绍兴中秋习俗,1,鉴湖泛舟赏月和沈园月下听曲是特色。,1,attraction_culture,非遗民俗
绍兴重阳习俗,1,登会稽山和府山。菊花酒用黄酒浸泡菊花制成。,1,attraction_culture,非遗民俗
越窑青瓷烧制技艺,1,以类玉似冰的釉色著称。唐代陆龟蒙赞九秋风露越窑开夺得千峰翠色来。,1,attraction_culture,非遗民俗
绍兴石桥营造技艺,1,含梁桥拱桥八字桥等多种形式，选石雕凿架设等技艺。,1,attraction_culture,非遗民俗
绍兴水乡船歌,1,以绍兴方言演唱，内容多为水乡生活和爱情故事。,1,attraction_culture,非遗民俗
绍兴社日习俗,1,搭台唱戏祭祀土地神聚餐。农村最热闹的传统节日。,1,attraction_culture,非遗民俗
绍兴剪纸,1,题材多为水乡风光戏曲人物花鸟鱼虫。线条细腻造型生动。,1,attraction_culture,非遗民俗
绍兴香榧文化,1,香榧是特产坚果。千年香榧林在稽东镇最老香榧树1500余年。,1,attraction_culture,非遗民俗
绍兴非遗·绍兴酱文化,1,绍兴母子酱油是独特酿造工艺。以酱油代水酿造而成，色泽深褐味道醇厚。是中国酱文化的活化石。,1,attraction_culture,非遗民俗
绍兴非遗·绍兴年糕制作,1,绍兴年糕以水磨年糕最为著名。口感软糯Q弹，可炒可煮可煎。春节家家必备。,1,attraction_culture,非遗民俗
绍兴非遗·绍兴腐乳,1,绍兴腐乳以色泽红润、质地细腻、咸甜适口著称。是绍兴人餐桌必备佐餐小菜。,1,attraction_culture,非遗民俗
绍兴非遗·绍兴面塑,1,绍兴面塑色彩鲜艳造型生动。常用于节庆和祭祀。,1,attraction_culture,非遗民俗
绍兴非遗·绍兴灯彩,1,绍兴灯彩以竹骨纸糊为主，造型多样。安昌古镇元宵灯会最为热闹。,1,attraction_culture,非遗民俗
绍兴非遗·绍兴端午龙舟,1,绍兴龙舟赛不仅是体育竞技更是水乡民俗。端午节期间鉴湖上百舸争流。,1,attraction_culture,非遗民俗
绍兴非遗·绍兴立夏习俗,1,立夏是夏季第一个节气。绍兴人吃豌豆糯米饭、称小孩体重，寓意健康成长。,1,attraction_culture,非遗民俗
绍兴非遗·绍兴冬至习俗,1,冬至大如年。绍兴人吃麻糍（糯米糍粑）、祭祖、吃冬至夜饭。,1,attraction_culture,非遗民俗
